grant_id,full_name,faculty_id,faculty_name,match_score,proposed_is_copi
370581,David Kaeli,148296,"KAELI, DAVID R",100.0,False
370581,Gene Cooperman,141650,"COOPERMAN, GENE D",100.0,True
313044,Milica Stojanovic,938959,"STOJANOVIC, MILICA",100.0,False
315120,David E Budil,141160,"BUDIL, DAVID E",100.0,True
315120,Sanjeev Mukerjee,141960,"MUKERJEE, SANJEEV",100.0,True
320231,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
323258,Vincent G Harris,144601,"HARRIS, VINCENT G",100.0,True
323281,Ali Abur,951814,"ABUR, ALI",100.0,False
323292,Jennifer Bowen,1137933,"BOWEN, JENNIFER LYNN",100.0,False
323698,Phil Brown,1988111,"BROWN, PHIL",100.0,True
324603,Dagmar Sternad,62737,"STERNAD, DAGMAR",100.0,False
325289,Sergey Kravchenko,124859,"KRAVCHENKO, SERGEY",100.0,False
328907,Lisa Feldman Barrett,526595,"BARRETT, LISA FELDMAN",100.0,False
329004,Kai-tak Wan,401600,"WAN, KAI-TAK",100.0,False
331664,David Madigan,1538692,"MADIGAN, DAVID BENNETT",100.0,False
333704,ming wang,65927,"WANG, MING L",100.0,False
333864,Jerome F Hajjar,579392,"HAJJAR, JEROME F",100.0,True
333923,Hongwei Sun,1018793,"SUN, HONGWEI",100.0,True
334587,Mehrdad Sasani,141904,"SASANI, MEHRDAD",100.0,False
335467,Arun Bansil,141614,"BANSIL, ARUN",100.0,False
335531,Pran Nath,141760,"NATH, PRAN",100.0,False
337579,Milica Stojanovic,938959,"STOJANOVIC, MILICA",100.0,True
337601,Albert-Laszlo Barabasi,404727,"BARABASI, ALBERT-LASZLO",100.0,True
337601,Alessandro Vespignani,1134982,"VESPIGNANI, ALESSANDRO",100.0,True
339361,Darien R Wood,141790,"WOOD, DARIEN",100.0,True
339362,Srinivas Sridhar,141846,"SRIDHAR, SRINIVAS",100.0,False
341987,Mario Sznaier,926130,"SZNAIER, MARIO",100.0,False
343316,Octavia Camps,926134,"CAMPS, OCTAVIA",100.0,False
343316,Mario Sznaier,926130,"SZNAIER, MARIO",100.0,True
345914,Srinivas Sridhar,141846,"SRIDHAR, SRINIVAS",100.0,False
345914,Mary Jo Ondrechen,141740,"ONDRECHEN, MARY JO",100.0,True
345914,Sanjeev Mukerjee,141960,"MUKERJEE, SANJEEV",100.0,True
345914,Mansoor M Amiji,144110,"AMIJI, MANSOOR",100.0,True
345914,Jeffrey W Ruberti,148920,"RUBERTI, JEFFREY W",100.0,True
345952,Eduardo Sontag,1898551,"SONTAG, EDUARDO DANIEL",100.0,False
346955,Moneesh Upmanyu,65819,"UPMANYU, MONEESH",100.0,False
349042,David Madigan,1538692,"MADIGAN, DAVID BENNETT",100.0,False
349244,Phil Brown,1988111,"BROWN, PHIL",100.0,True
355474,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
355658,Jeffrey Ruberti,148920,"RUBERTI, JEFFREY W",100.0,False
356693,Diomedes Logothetis,708006,"LOGOTHETIS, DIOMEDES E",100.0,True
356729,Akram N Alshawabkeh,141504,"ALSHAWABKEH, AKRAM N",100.0,True
356738,Rupal Patel,141211,"PATEL, RUPAL",100.0,False
363430,Albert-Laszlo Barabasi,404727,"BARABASI, ALBERT-LASZLO",100.0,True
363430,Alessandro Vespignani,1134982,"VESPIGNANI, ALESSANDRO",100.0,True
363439,Tatiana K Bronich,2980311,"BRONICH, TATIANA KARPOVNA",93.75,True
369750,Mary Jo Ondrechen,141740,"ONDRECHEN, MARY JO",100.0,False
371787,Ali Abur,951814,"ABUR, ALI",100.0,False
373618,Olin Shivers,933475,"SHIVERS, OLIN",100.0,False
373618,Panagiotis Manolios,401004,"MANOLIOS, PANAGIOTIS PETE",100.0,True
313768,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
315543,Olin G Shivers,933475,"SHIVERS, OLIN",100.0,True
322488,Michael Tolley,141499,"TOLLEY, MICHAEL C",100.0,False
325656,Stefano Basagni,144655,"BASAGNI, STEFANO",100.0,False
326201,Octavia Camps,926134,"CAMPS, OCTAVIA",100.0,False
326386,Mario Sznaier,926130,"SZNAIER, MARIO",100.0,False
329412,Tomasz Taylor,141152,"TAYLOR, TOMASZ R",100.0,False
329450,Luca Caracoglia,197423,"CARACOGLIA, LUCA",100.0,False
329451,Sara Wadia-Fascetti,141701,"WADIA-FASCETTI, SARA J",100.0,False
329451,Carey M Rappaport,141496,"RAPPAPORT, CAREY M",100.0,True
329729,Jerome F Hajjar,579392,"HAJJAR, JEROME F",100.0,True
329759,Rebecca Willits,1519332,"WILLITS, REBECCA KUNTZ",100.0,False
329886,Gene Cooperman,141650,"COOPERMAN, GENE D",100.0,False
329886,David R Kaeli,148296,"KAELI, DAVID R",100.0,True
329886,Javed A Aslam,141188,"ASLAM, JAVED",100.0,True
329886,Jennifer G Dy,141178,"DY, JENNIFER G",100.0,True
329886,Ravi Sundaram,144197,"SUNDARAM, RAVI",100.0,True
332655,Rajmohan Rajaraman,141967,"RAJARAMAN, RAJMOHAN",100.0,False
332655,Ravi Sundaram,144197,"SUNDARAM, RAVI",100.0,True
334607,David Horsley,2836949,"HORSLEY, DAVID",100.0,False
337833,Javed A Aslam,141188,"ASLAM, JAVED",100.0,True
340192,Nian Sun,140848,"SUN, NIAN",100.0,False
340192,Vincent G Harris,144601,"HARRIS, VINCENT G",100.0,True
342417,Javed Aslam,141188,"ASLAM, JAVED",100.0,False
343849,David Lazer,555562,"LAZER, DAVID M J",100.0,False
344058,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
346257,Andrew Gouldstone,358255,"GOULDSTONE, ANDREW",100.0,True
350867,Nathan Israeloff,141563,"ISRAELOFF, NATHAN E",100.0,False
355451,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
355523,Yunsi Fei,1130475,"FEI, YUNSI",100.0,False
357772,Latika Menon,957973,"MENON, LATIKA",100.0,False
357772,Srinivas Sridhar,141846,"SRIDHAR, SRINIVAS",100.0,True
357772,Donald M O'Malley,141668,"O'MALLEY, DONALD M",100.0,True
357772,Armen Stepanyants,140432,"STEPANYANTS, ARMEN B",100.0,True
357805,Christopher Bosso,141880,"BOSSO, CHRISTOPHER JOHN",100.0,False
357805,Ahmed A Busnaina,141501,"BUSNAINA, AHMED",100.0,True
357805,Ronald L Sandler,141173,"SANDLER, RONALD L",100.0,True
359887,Javed A Aslam,141188,"ASLAM, JAVED",100.0,True
361366,Mario Sznaier,926130,"SZNAIER, MARIO",100.0,False
364734,J Timothy Sage,141634,"SAGE, J TIMOTHY",100.0,False
364734,Paul M Champion,141547,"CHAMPION, PAUL M",100.0,True
365376,Edmund Yeh,1134983,"YEH, EDMUND",100.0,False
365497,Kevin Fu,1538316,"FU, KEVIN",100.0,False
369035,Aaron R Seitz,2666278,"SEITZ, AARON",100.0,True
369302,Mirek Riedewald,62652,"RIEDEWALD, MIREK",100.0,True
374234,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
374326,Eduardo Sontag,1898551,"SONTAG, EDUARDO DANIEL",100.0,False
311399,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
311465,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
311657,Andrew Myers,1130476,"MYERS, ANDREW THOMSON",100.0,False
311682,Matthew Eckelman,1132066,"ECKELMAN, MATTHEW JENSEN",100.0,False
311790,Lisa Feldman Barrett,526595,"BARRETT, LISA FELDMAN",100.0,False
314034,David DeSteno,148266,"DESTENO, DAVID A",100.0,False
314168,Milen T Yakimov,1563315,"YAKIMOV, MILEN TCHERNEV",92.85714285714286,True
316889,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
317127,Yung Joon Jung,959185,"JUNG, YUNG JOON",100.0,False
317127,Ahmed A Busnaina,141501,"BUSNAINA, AHMED",100.0,True
317127,Latika Menon,957973,"MENON, LATIKA",100.0,True
318695,Guevara Noubir,148184,"NOUBIR, GUEVARA",100.0,False
318719,Albert-Laszlo Barabasi,404727,"BARABASI, ALBERT-LASZLO",100.0,True
320280,Milen Yakimov,1563315,"YAKIMOV, MILEN TCHERNEV",100.0,False
320609,Vincent Harris,144601,"HARRIS, VINCENT G",100.0,False
320861,ming wang,65927,"WANG, MING L",100.0,False
327102,Mingzhong Wu,2810099,"WU, MINGZHONG",100.0,False
327102,Mingzhong Wu,2810099,"WU, MINGZHONG",100.0,True
327118,Seth Hutchinson,2481837,"HUTCHINSON, SETH",100.0,False
