grant_id,award_num,full_name,is_contact_pi,rank_order
320231,0524835,M. Misha Pavel,False,1
320231,0524835,Eric A Wan,False,2
323258,0400676,Carmine Vittoria,True,0
323258,0400676,Shaheen M Islam,False,1
323258,0400676,Vincent G Harris,False,2
323281,0400760,Ali Abur,True,0
323292,0400819,Jennifer Bowen,True,0
323698,0555025,John Logan,True,0
323698,0555025,Phil Brown,False,1
323698,0555025,Steven P Hamburg,False,2
323698,0555025,John F Mustard,False,3
323698,0555025,Rachel Morello-Frosch,False,4
324603,0450218,Dagmar Sternad,True,0
325289,0403026,Sergey Kravchenko,True,0
328907,0527440,Lisa Feldman Barrett,True,0
328907,0527440,Jon Horvitz,False,1
329004,0527912,Kai-tak Wan,True,0
331664,0454126,David Madigan,True,0
333704,0529320,ming wang,True,0
333704,0529320,J. E Indacochea,False,1
333811,0530151,Don DeGroot,True,0
333811,0530151,Thomas C Sheahan,False,1
333811,0530151,Jason T DeJong,False,2
333811,0530151,Brian McAdoo,False,3
333811,0530151,Laurie G Baise,False,4
333864,0530756,Gregory Deierlein,True,0
333864,0530756,Jerome F Hajjar,False,1
333864,0530756,Sarah L Billington,False,2
333923,0531127,Julie Chen,True,0
333923,0531127,Teiichi Ando,False,1
333923,0531127,Hongwei Sun,False,2
333923,0531127,Charalabos C Doumanidis,False,3
334587,0601258,Mehrdad Sasani,True,0
335467,0456304,Arun Bansil,True,0
335467,0456304,Marta J Hersek,False,1
335467,0456304,Nicholas A Gross,False,2
335531,0456568,Pran Nath,True,0
337579,0532223,Lee Freitag,True,0
337579,0532223,Milica Stojanovic,False,1
337601,0532387,Stanley Wasserman,True,0
337601,0532387,Noshir S Contractor,False,1
337601,0532387,Albert-Laszlo Barabasi,False,2
337601,0532387,Katy Borner,False,3
337601,0532387,Alessandro Vespignani,False,4
339361,0457001,Stephen Reucroft,True,0
339361,0457001,John D Swain,False,1
339361,0457001,Darien R Wood,False,2
339362,0457002,Srinivas Sridhar,True,0
341987,0501166,Mario Sznaier,True,0
341987,0501166,Constantino M Lagoa,False,1
342389,0534315,Blair MacIntyre,True,0
342389,0534315,Jay D Bolter,False,1
342389,0534315,Richard Catrambone,False,2
342389,0534315,Maribeth G Coleman,False,3
343316,0312558,Octavia Camps,True,0
343316,0312558,Mario Sznaier,False,1
343316,0312558,George Kesidis,False,2
345220,0125668,David Luzzi,True,0
345220,0125668,Eduardo D Glandt,False,1
345220,0125668,David J Graves,False,2
345220,0125668,Sally D Solomon,False,3
345220,0125668,Ali A Houshmand,False,4
345914,0504331,Srinivas Sridhar,True,0
345914,0504331,Mary Jo Ondrechen,False,1
345914,0504331,Sanjeev Mukerjee,False,2
345914,0504331,Mansoor M Amiji,False,3
345914,0504331,Jeffrey W Ruberti,False,4
345914,0504331,Gilda A Barabino,False,5
345952,0504557,Eduardo Sontag,True,0
346532,0537056,Jacqueline Isaacs,True,0
346532,0537056,Thomas P Cullinane,False,1
346532,0537056,Donna Qualters,False,2
346955,0537537,Moneesh Upmanyu,True,0
349042,0505599,David Madigan,True,0
349244,0506661,Robert Hurt,True,0
349244,0506661,Agnes B Kane,False,1
349244,0506661,Phil Brown,False,2
349244,0506661,Gregory P Crawford,False,3
349244,0506661,Jeffrey Morgan,False,4
355474,0540902,Carla Brodley,True,0
355658,0541707,Jeffrey Ruberti,True,0
356693,0509719,Victoria Bolotina,True,0
356693,0509719,Diomedes Logothetis,False,1
356729,0509894,M. K. Yegian,True,0
356729,0509894,Akram N Alshawabkeh,False,1
356738,0509935,Rupal Patel,True,0
363430,0513650,Katy Borner,True,0
363430,0513650,Stanley Wasserman,False,1
363430,0513650,Albert-Laszlo Barabasi,False,2
363430,0513650,Alessandro Vespignani,False,3
363430,0513650,Santiago Schnell,False,4
363439,0513699,Alexander Kabanov,True,0
363439,0513699,Tatiana K Bronich,False,1
369750,0517292,Mary Jo Ondrechen,True,0
371787,0629887,Ali Abur,True,0
372253,0345713,Kenneth Henderson,True,0
373618,0438871,Olin Shivers,True,0
373618,0438871,Panagiotis Manolios,False,1
313768,0551486,Matthias Felleisen,True,0
315543,0615025,Eric Feron,True,0
315543,0615025,Santosh Pande,False,1
315543,0615025,Olin G Shivers,False,2
316566,0631112,Jacqueline Isaacs,True,0
320082,0523862,Daniel Distel,True,0
320082,0523862,Jonathan A Eisen,False,1
322488,0617472,Michael Tolley,True,0
325656,0634847,Stefano Basagni,True,0
326201,0647116,Octavia Camps,True,0
326386,0648054,Mario Sznaier,True,0
329412,0600304,Tomasz Taylor,True,0
329450,0600575,Luca Caracoglia,True,0
329451,0600578,Sara Wadia-Fascetti,True,0
329451,0600578,Carey M Rappaport,False,1
329451,0600578,Eric L Miller,False,2
329729,0619047,Roberto Leon,True,0
329729,0619047,Jerome F Hajjar,False,1
329759,0619184,Rebecca Willits,True,0
329759,0619184,Robert S Martin,False,1
329759,0619184,Shelley D Minteer,False,2
329759,0619184,Susan A Spencer,False,3
329759,0619184,Cheryl A Miller,False,4
329886,0619616,Gene Cooperman,True,0
329886,0619616,David R Kaeli,False,1
329886,0619616,Javed A Aslam,False,2
329886,0619616,Jennifer G Dy,False,3
329886,0619616,Ravi Sundaram,False,4
332655,0635119,Rajmohan Rajaraman,True,0
332655,0635119,Ravi Sundaram,False,1
334607,0601383,David Horsley,True,0
334607,0601383,Ian M Kennedy,False,1
334607,0601383,Krassimira Hristova,False,2
337833,0533625,Betty Salzberg,True,0
337833,0533625,Javed A Aslam,False,1
340192,0603115,Nian Sun,True,0
340192,0603115,Vincent G Harris,False,1
340192,0603115,Jun-Ming Liu,False,2
342417,0534482,Javed Aslam,True,0
343078,0638671,Daniel Distel,True,0
343849,0621242,David Lazer,True,0
344058,0622239,Deniz Erdogmus,True,0
344058,0622239,M. Misha Pavel,False,1
346257,0605704,Sanjay Sampath,True,0
346257,0605704,Toshio Nakamura,False,1
346257,0605704,Andrew Gouldstone,False,2
346257,0605704,Lysa Russo,False,3
346257,0605704,Curtis A Johnson,False,4
350867,0606090,Nathan Israeloff,True,0
355451,0540818,Matthias Felleisen,True,0
355523,0541102,Yunsi Fei,True,0
357772,0608892,Latika Menon,True,0
357772,0608892,Srinivas Sridhar,False,1
357772,0608892,Donald M O'Malley,False,2
357772,0608892,Mehmet R Dokmeci,False,3
357772,0608892,Armen Stepanyants,False,4
357805,0609078,Christopher Bosso,True,0
357805,0609078,Ahmed A Busnaina,False,1
357805,0609078,Jacqueline A Isaacs,False,2
357805,0609078,William D Kay,False,3
357805,0609078,Ronald L Sandler,False,4
359887,0543209,Robert Futrelle,True,0
359887,0543209,Javed A Aslam,False,1
359887,0543209,Peter Tarasewich,False,2
361366,0641498,Mario Sznaier,True,0
364734,0545787,J Timothy Sage,True,0
364734,0545787,Paul M Champion,False,1
365376,0626882,Edmund Yeh,True,0
365421,0627145,Amin Vahdat,True,0
365421,0627145,Geoffrey M Voelker,False,1
365421,0627145,Dmitri Krioukov,False,2
365497,0627529,Kevin Fu,True,0
365497,0627529,Wayne P Burleson,False,1
369035,0549036,Takeo Watanabe,True,0
369035,0549036,Aaron R Seitz,False,1
369302,0612031,Steven Kelling,True,0
369302,0612031,Martin T Wells,False,1
369302,0612031,Rich A Caruana,False,2
369302,0612031,Mirek Riedewald,False,3
369302,0612031,Daniel Fink,False,4
371698,0629255,Daniel Distel,True,0
374234,0613805,Matthias Felleisen,True,0
374326,0614371,Eduardo Sontag,True,0
311399,0713259,Carla Brodley,True,0
311465,0713690,Deniz Erdogmus,True,0
311465,0713690,M. Misha Pavel,False,1
311465,0713690,Holly B Jimison,False,2
311657,0714327,Andrew Myers,True,0
311682,0714393,Matthew Eckelman,True,0
311790,0721260,Lisa Feldman Barrett,True,0
312009,0722070,Dmitri Krioukov,True,0
312009,0722070,Kimberly C Claffy,False,1
314034,0645384,David DeSteno,True,0
314168,0646057,Geoffrey Mason,True,0
314168,0646057,Susan Montgomery,False,1
314168,0646057,Joseph A Wolf,False,2
314168,0646057,Milen T Yakimov,False,3
316889,0632872,Matthias Felleisen,True,0
317127,0708541,Yung Joon Jung,True,0
317127,0708541,Ahmed A Busnaina,False,1
317127,0708541,Pulickel M Ajayan,False,2
317127,0708541,Latika Menon,False,3
317127,0708541,Young-Kyun Kwon,False,4
318695,0709044,Guevara Noubir,True,0
318719,0709140,Jay Brockman,True,0
318719,0709140,Peter M Kogge,False,1
318719,0709140,Albert-Laszlo Barabasi,False,2
318719,0709140,Nitesh Chawla,False,3
320280,0701107,Milen Yakimov,True,0
320609,0702564,Vincent Harris,True,0
320609,0702564,Carmine Vittoria,False,1
320609,0702564,Patanjali V Parimi,False,2
320861,0726837,ming wang,True,0
327102,0725386,Mingzhong Wu,True,0
327102,0725386,Carl E Patton,False,1
327102,0725386,Mingzhong Wu,False,2
327118,0725444,Seth Hutchinson,True,0
331294,0715833,Sanjay Rao,True,0
331294,0715833,Cristina Nita-Rotaru,False,1
331375,0716335,Edmund Yeh,True,0
331386,0716386,Kevin Fu,True,0
334040,0636325,Carla Brodley,True,0
334040,0636325,Carla S Ellis,False,1
334040,0636325,Andrew Bernat,False,2
337882,0648525,Geoffrey Trussell,True,0
339725,0709527,Graham Sherwood,True,0
339725,0709527,Alan Lishness,False,1
339725,0709527,Jonathan Grabowski,False,2
339725,0709527,Graham D Sherwood,False,3
348032,0723001,David Budil,True,0
348032,0723001,Mary Jo Ondrechen,False,1
348032,0723001,Don Heiman,False,2
348032,0723001,Constantinos Mavroidis,False,3
348032,0723001,Sanjeev Mukerjee,False,4
348068,0723128,Frank Miller,True,0
348068,0723128,Hai-Lung Tsai,False,1
348068,0723128,Jay A Switzer,False,2
348068,0723128,Melanie R Mormile,False,3
348068,0723128,Kai-tak Wan,False,4
351758,0624088,John Logan,True,0
351758,0624088,Phil Brown,False,1
351758,0624088,Steven P Hamburg,False,2
351758,0624088,John F Mustard,False,3
351758,0624088,Rachel Morello-Frosch,False,4
353540,0705508,Matthew Goodwin,True,0
355985,0712821,Rupal Patel,True,0
356029,0713003,Octavia Camps,True,0
356029,0713003,Mario Sznaier,False,1
356838,0716581,Guevara Noubir,True,0
356838,0716581,Agnes H Chan,False,1
357049,0717593,Kenneth Henderson,True,0
357087,0717750,Jacqueline Isaacs,True,0
357087,0717750,Thomas P Cullinane,False,1
357087,0717750,James C Benneyan,False,2
357087,0717750,Donna Qualters,False,3
361844,0653090,Christos Zahopoulos,True,0
361844,0653090,Thomas P Cullinane,False,1
361844,0653090,Mohamad Metghalchi,False,2
361844,0653090,Claire J Duggan,False,3
361844,0653090,Yiannis A Levendis,False,4
367319,0706837,Maxim Braverman,True,0
367441,0707212,Valerio Toledano Laredo,True,0
373481,0653582,Guido Mueller,True,0
373481,0653582,Hai-Ping Cheng,False,1
373482,0653587,Brent Nelson,True,0
374357,0654176,Sara Wadia-Fascetti,True,0
374357,0654176,Carey M Rappaport,False,1
374357,0654176,Dionisio Bernal,False,2
374357,0654176,Barry Bluestone,False,3
374357,0654176,Ingrid Y Padilla,False,4
374521,0700664,Sagar Kamarthi,True,0
374521,0700664,Ibrahim Zeid,False,1
374542,0700764,Rebecca Carrier,True,0
374542,0700764,Gilda A Barabino,False,1
374542,0700764,Shashi K Murthy,False,2
374634,0727628,Geoffrey Trussell,True,0
374693,0727984,Rebecca Carrier,True,0
374693,0727984,Daniel D Burkey,False,1
374693,0727984,Rebecca L Carrier,False,2
374831,0728634,Kenneth Mopper,True,0
374831,0728634,Patrick G Hatcher,False,1
374831,0728634,Jingdong Mao,False,2
374831,0728634,Kenneth Mopper,False,3
375328,0731125,Pradeep Kurup,True,0
375328,0731125,Jayant Kumar,False,1
375328,0731125,Hongwei Sun,False,2
375328,0731125,Ramaswamy Nagarajan,False,3
375328,0731125,Zhiyong Gu,False,4
376617,0738294,Latika Menon,True,0
376696,0738720,Stefano Basagni,True,0
377395,0742054,Stefano Basagni,True,0
377605,0742924,Michael Silevitch,True,0
377605,0742924,Claire J Duggan,False,1
377829,0744197,Celia Pearce,True,0
378034,0745579,Gregory Abowd,True,0
378034,0745579,Rosa Arriaga,False,1
378621,0748626,Mirek Riedewald,True,0
378621,0748626,Daniel Fink,False,1
379450,0757025,Olin Shivers,True,0
379469,0757138,Kai-tak Wan,True,0
381701,0808626,David Madigan,True,0
386466,0837678,Albert-Laszlo Barabasi,True,0
1008724,0727984,Rebecca Carrier,True,0
1008724,0727984,Daniel D Burkey,False,1
1008724,0727984,Rebecca L Carrier,False,2
1279175,0708420,Milica Stojanovic,True,0
317092,0708375,Stephen Intille,True,0
321226,0751091,David Kaeli,True,0
321226,0751091,Mehdi B Tahoori,False,1
331396,0822283,Jose Onuchic,True,0
331396,0822283,Peter G Wolynes,False,1
331396,0822283,Herbert Levine,False,2
331396,0822283,Terence T Hwa,False,3
348209,0650271,James Murray,True,0
348209,0650271,David E Luzzi,False,1
348209,0650271,S. Ann M Heath,False,2
348209,0650271,Melody R Wilt,False,3
376295,0736930,Katherine Ziemer,True,0
376295,0736930,Albert Sacco,False,1
376295,0736930,Rebecca L Carrier,False,2
376295,0736930,Elizabeth J Podlaha-Murphy,False,3
376295,0736930,Katherine Ziemer,False,4
377346,0741793,A. Graham Lappin,True,0
377346,0741793,Richard E Taylor,False,1
377346,0741793,Bradley D Smith,False,2
377346,0741793,Slavi C Sevov,False,3
377346,0741793,Kenneth W Henderson,False,4
377866,0744456,Mark Williams,True,0
377911,0744738,Paul Champion,True,0
377911,0744738,J Timothy T Sage,False,1
378794,0749451,George ODoherty,True,0
379236,0755389,Rebecca Willits,True,0
379241,0755431,Yiannis Levendis,True,0
379555,0757561,Darien Wood,True,0
379555,0757561,George O Alverson,False,1
379555,0757561,Emanuela Barberis,False,2
379556,0757567,Brian Magerko,True,0
379556,0757567,Celia Pearce,False,1
379556,0757567,Mark O Riedl,False,2
379652,0757959,Pran Nath,True,0
379652,0757959,Haim Goldberg,False,1
379652,0757959,Tomasz R Taylor,False,2
379652,0757959,Brent D Nelson,False,3
380592,0803409,Carla Brodley,True,0
380592,0803409,Roni Khardon,False,1
380757,0804407,Hai-Ping Cheng,True,0
382307,0811170,Sara Wadia-Fascetti,True,0
382307,0811170,J. Murray Gibson,False,1
382307,0811170,Graham B Jones,False,2
382307,0811170,Luis Falcon,False,3
382307,0811170,Jacqueline A Isaacs,False,4
382307,0811170,Kathrin S Zippel,False,5
382315,0811194,Sirje Weldon,True,0
382315,0811194,Christie L Sahley,False,1
382315,0811194,Klod Kokini,False,2
382315,0811194,Alice L Pawley,False,3
382315,0811194,Gwendolyn C Taylor,False,4
382315,0811194,Valentine Moghadam,False,5
382315,0811194,Dorothy Reed,False,6
383236,0816840,Slava Epstein,True,0
383556,0818678,Carla Mattos,True,0
384146,0823497,Hossein Mosallaei,True,0
384243,0824005,Ali Abur,True,0
384243,0824005,Hanoch Lev-Ari,False,1
384245,0824008,Nian Sun,True,0
384646,0825846,Jeremy Long,True,0
384646,0825846,Geoffrey C Trussell,False,1
384649,0825864,Yingzi Lin,True,0
384649,0825864,Yung Joon Jung,False,1
384837,0827084,David DeSteno,True,0
385045,0828386,Sarah Burgard,True,0
385045,0828386,Tiffany Joseph,False,1
385053,0828466,Ming Su,True,0
385053,0828466,Louis C Chow,False,1
385371,0830164,Hossein Mosallaei,True,0
385598,0831244,Kevin Fu,True,0
385633,0831426,David Evans,True,0
385633,0831426,John C Lach,False,1
385633,0831426,Abhi Shelat,False,2
385633,0831426,Benton H Calhoun,False,3
385686,0831728,Milica Stojanovic,True,0
385844,0832803,Celia Pearce,True,0
386442,0837092,Emanuela Barberis,True,0
386772,0841100,Panagiotis Manolios,True,0
386891,0844078,Panagiotis Manolios,True,0
387019,0848420,Pinar Keskinocak,True,0
387019,0848420,Julie L Swann,False,1
387019,0848420,Ozlem Ergun,False,2
387197,0853262,Herbert Levine,True,0
387243,0855724,ming wang,True,0
387326,0904464,Dagmar Sternad,True,0
387338,0907110,Jonathan Weitsman,True,0
945639,0946610,Milica Stojanovic,True,0
946395,0934509,Deniz Erdogmus,True,0
946622,0934506,Deniz Erdogmus,True,0
946925,0929576,Deniz Erdogmus,True,0
1007313,0739229,Carla Brodley,True,0
1007313,0739229,Carla S Ellis,False,1
1007313,0739229,Bryant W York,False,2
