grant_id,project_num,core_project_num,profile_id,full_name,is_contact_pi,org_name,is_neu_org,rank_order
297770,5R42MH064970-03,R42MH064970,1893351,CRAIG F FERRIS,True,"INSIGHT NEUROIMAGING SYSTEMS, LLC",False,0
647069,7R01DA019158-05,R01DA019158,1893351,CRAIG F FERRIS,True,NORTHEASTERN UNIVERSITY,True,0
948544,7R01AI058146-04,R01AI058146,2444920,ZHAOHUI SUNNY ZHOU,True,NORTHEASTERN UNIVERSITY,True,0
948768,7R01GM070590-04,R01GM070590,6277680,JOHN R ENGEN,True,NORTHEASTERN UNIVERSITY,True,0
948882,5R01MH068655-02,R01MH068655,1897870,Raymond G. Booth,True,UNIV OF NORTH CAROLINA CHAPEL HILL,False,0
949485,7R21LM008553-02,R21LM008553,7854251,TIMOTHY W. BICKMORE,True,NORTHEASTERN UNIVERSITY,True,0
998049,2T32GM007057-31,T32GM007057,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
1181583,3U54CA113007-02S1,U54CA113007,1880416,Vito  Quaranta,True,VANDERBILT UNIVERSITY,False,0
1188859,1P01HL081427-01,P01HL081427,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
1221225,1P30CA118100-01,P30CA118100,1955861,CHERYL LYNN WILLMAN,True,UNIVERSITY OF NEW MEXICO,False,0
1240216,5T32GM007280-29,T32GM007280,1867929,Diomedes E. Logothetis,True,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,False,0
1244066,5M01RR000054-44,M01RR000054,1860455,Harry P. Selker,True,TUFTS MEDICAL CENTER,False,0
1244072,5M01RR000054-44,M01RR000054,1860455,Harry P. Selker,True,TUFTS MEDICAL CENTER,False,0
1250146,5P20RR016480-05,P20RR016480,6277680,JOHN R ENGEN,True,NEW MEXICO STATE UNIVERSITY LAS CRUCES,False,0
1250153,3P20RR016480-05S1,P20RR016480,1964518,JEFFREY B ARTERBURN,True,NEW MEXICO STATE UNIVERSITY LAS CRUCES,False,0
1250649,5P41RR000862-32,P41RR000862,1862554,Brian T Chait,True,ROCKEFELLER UNIVERSITY,False,0
1252390,5P41RR008630-10,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
1252441,5P41RR010888-09,P41RR010888,1870801,Catherine E. Costello,True,BOSTON UNIVERSITY MEDICAL CAMPUS,False,0
89293,1R03EB005214-01A1,R03EB005214,1896696,ANAND R ASTHAGIRI,True,CALIFORNIA INSTITUTE OF TECHNOLOGY,False,0
108894,1R03CA126398-01,R03CA126398,8604852,Daniel  Kim,True,HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,False,0
128326,1F32MH075506-01A2,F32MH075506,6600278,REBECCA M SHANSKY,True,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,False,0
131836,2K05DA000493-06,K05DA000493,6274976,Alexandros  Makriyannis,True,NORTHEASTERN UNIVERSITY,True,0
131855,1R01AI070863-01A1,R01AI070863,2419436,Kim  Lewis,True,NORTHEASTERN UNIVERSITY,True,0
131869,1R01CA111985-01A2,R01CA111985,2063224,Michail  Sitkovsky,True,NORTHEASTERN UNIVERSITY,True,0
131884,1R01CA121838-01,R01CA121838,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
131957,1R03CA121352-01A1,R03CA121352,1872760,ROGER Wallace GIESE,True,NORTHEASTERN UNIVERSITY,True,0
